lake_id,ice_in_date,ice_out_date,ice_days,lake_name,measured_years,decade,year,ice_in_month,ice_out_month,ice_in_month_date,ice_out_month_date,ice_in_month_datetime,ice_in_month_day_dt,ice_out_month_datetime,ice_out_month_day_dt
04013000,1995-11-26,1996-05-09,165,Bemidji,125,1990,1995,11,5,11-26,5-9,1900-11-26,11-26,1900-05-09,05-09
04013000,1995-11-26,1996-05-10,166,Bemidji,125,1990,1995,11,5,11-26,5-10,1900-11-26,11-26,1900-05-10,05-10
04013000,1996-11-19,1997-04-28,160,Bemidji,125,1990,1996,11,4,11-19,4-28,1900-11-19,11-19,1900-04-28,04-28
04013000,1996-11-20,1997-04-28,159,Bemidji,125,1990,1996,11,4,11-20,4-28,1900-11-20,11-20,1900-04-28,04-28
04013000,1997-11-16,1998-04-12,147,Bemidji,125,1990,1997,11,4,11-16,4-12,1900-11-16,11-16,1900-04-12,04-12
04013000,1997-11-16,1998-04-13,148,Bemidji,125,1990,1997,11,4,11-16,4-13,1900-11-16,11-16,1900-04-13,04-13
04013000,1997-11-24,1998-04-12,139,Bemidji,125,1990,1997,11,4,11-24,4-12,1900-11-24,11-24,1900-04-12,04-12
04013000,1997-11-24,1998-04-13,140,Bemidji,125,1990,1997,11,4,11-24,4-13,1900-11-24,11-24,1900-04-13,04-13
04013000,1998-12-20,1999-04-25,126,Bemidji,125,1990,1998,12,4,12-20,4-25,1900-12-20,12-20,1900-04-25,04-25
04013000,1998-12-20,1999-04-26,127,Bemidji,125,1990,1998,12,4,12-20,4-26,1900-12-20,12-20,1900-04-26,04-26
04013000,1999-12-17,2000-04-20,125,Bemidji,125,1990,1999,12,4,12-17,4-20,1900-12-17,12-17,1900-04-20,04-20
04013000,2000-11-21,2001-04-30,160,Bemidji,125,2000,2000,11,4,11-21,4-30,1900-11-21,11-21,1900-04-30,04-30
04013000,2000-12-06,2001-04-30,145,Bemidji,125,2000,2000,12,4,12-6,4-30,1900-12-06,12-06,1900-04-30,04-30
04013000,2001-12-20,2002-04-24,125,Bemidji,125,2000,2001,12,4,12-20,4-24,1900-12-20,12-20,1900-04-24,04-24
04013000,2001-12-20,2002-04-28,129,Bemidji,125,2000,2001,12,4,12-20,4-28,1900-12-20,12-20,1900-04-28,04-28
04013000,2002-11-24,2003-04-21,148,Bemidji,125,2000,2002,11,4,11-24,4-21,1900-11-24,11-24,1900-04-21,04-21
04013000,2002-11-24,2003-04-24,151,Bemidji,125,2000,2002,11,4,11-24,4-24,1900-11-24,11-24,1900-04-24,04-24
04013000,2002-11-25,2003-04-21,147,Bemidji,125,2000,2002,11,4,11-25,4-21,1900-11-25,11-25,1900-04-21,04-21
04013000,2002-11-25,2003-04-24,150,Bemidji,125,2000,2002,11,4,11-25,4-24,1900-11-25,11-25,1900-04-24,04-24
04013000,2003-11-25,2004-04-24,151,Bemidji,125,2000,2003,11,4,11-25,4-24,1900-11-25,11-25,1900-04-24,04-24
04013000,2003-12-03,2004-04-24,143,Bemidji,125,2000,2003,12,4,12-3,4-24,1900-12-03,12-03,1900-04-24,04-24
04013000,2004-12-14,2005-04-18,125,Bemidji,125,2000,2004,12,4,12-14,4-18,1900-12-14,12-14,1900-04-18,04-18
04013000,2004-12-14,2005-04-19,126,Bemidji,125,2000,2004,12,4,12-14,4-19,1900-12-14,12-14,1900-04-19,04-19
04013000,2005-11-30,2006-04-16,137,Bemidji,125,2000,2005,11,4,11-30,4-16,1900-11-30,11-30,1900-04-16,04-16
04013000,2006-11-19,2007-04-25,157,Bemidji,125,2000,2006,11,4,11-19,4-25,1900-11-19,11-19,1900-04-25,04-25
04013000,2006-11-19,2007-04-27,159,Bemidji,125,2000,2006,11,4,11-19,4-27,1900-11-19,11-19,1900-04-27,04-27
04013000,2006-11-30,2007-04-25,146,Bemidji,125,2000,2006,11,4,11-30,4-25,1900-11-30,11-30,1900-04-25,04-25
04013000,2006-11-30,2007-04-27,148,Bemidji,125,2000,2006,11,4,11-30,4-27,1900-11-30,11-30,1900-04-27,04-27
04013000,2006-12-01,2007-04-25,145,Bemidji,125,2000,2006,12,4,12-1,4-25,1900-12-01,12-01,1900-04-25,04-25
04013000,2006-12-01,2007-04-27,147,Bemidji,125,2000,2006,12,4,12-1,4-27,1900-12-01,12-01,1900-04-27,04-27
04013000,2007-12-01,2008-05-12,163,Bemidji,125,2000,2007,12,5,12-1,5-12,1900-12-01,12-01,1900-05-12,05-12
04013000,2007-12-01,2008-05-13,164,Bemidji,125,2000,2007,12,5,12-1,5-13,1900-12-01,12-01,1900-05-13,05-13
04013000,2008-11-26,2009-04-27,152,Bemidji,125,2000,2008,11,4,11-26,4-27,1900-11-26,11-26,1900-04-27,04-27
04013000,2009-12-10,2010-04-06,117,Bemidji,125,2000,2009,12,4,12-10,4-6,1900-12-10,12-10,1900-04-06,04-06
04013000,2010-12-02,2011-04-28,147,Bemidji,125,2010,2010,12,4,12-2,4-28,1900-12-02,12-02,1900-04-28,04-28
04013000,2011-12-06,2012-04-02,118,Bemidji,125,2010,2011,12,4,12-6,4-2,1900-12-06,12-06,1900-04-02,04-02
04013000,2012-12-06,2013-05-17,162,Bemidji,125,2010,2012,12,5,12-6,5-17,1900-12-06,12-06,1900-05-17,05-17
04013000,2013-11-24,2014-05-11,168,Bemidji,125,2010,2013,11,5,11-24,5-11,1900-11-24,11-24,1900-05-11,05-11
04013000,2014-11-16,2015-04-18,153,Bemidji,125,2010,2014,11,4,11-16,4-18,1900-11-16,11-16,1900-04-18,04-18
04013000,2015-11-27,2016-04-19,144,Bemidji,125,2010,2015,11,4,11-27,4-19,1900-11-27,11-27,1900-04-19,04-19
04013000,2015-12-19,2016-04-19,122,Bemidji,125,2010,2015,12,4,12-19,4-19,1900-12-19,12-19,1900-04-19,04-19
04013000,2016-12-09,2017-04-09,121,Bemidji,125,2010,2016,12,4,12-9,4-9,1900-12-09,12-09,1900-04-09,04-09
04013000,2017-12-07,2018-05-08,152,Bemidji,125,2010,2017,12,5,12-7,5-8,1900-12-07,12-07,1900-05-08,05-08
04013000,2018-11-20,2019-04-28,159,Bemidji,125,2010,2018,11,4,11-20,4-28,1900-11-20,11-20,1900-04-28,04-28
04013000,2018-11-20,2019-04-30,161,Bemidji,125,2010,2018,11,4,11-20,4-30,1900-11-20,11-20,1900-04-30,04-30
04013000,2019-12-03,2020-04-29,148,Bemidji,125,2010,2019,12,4,12-3,4-29,1900-12-03,12-03,1900-04-29,04-29
04013000,2020-11-30,2021-04-06,127,Bemidji,125,2020,2020,11,4,11-30,4-6,1900-11-30,11-30,1900-04-06,04-06
04013000,2021-12-07,2022-05-08,152,Bemidji,125,2020,2021,12,5,12-7,5-8,1900-12-07,12-07,1900-05-08,05-08
