"Name: Beltrami"
"ID: 04013500"
"Ice In Date","Source"
"2002-12-15","MNPCA"
"2003-11-28","MNPCA"
"2004-11-26","MNPCA"
"2009-11-21","MNDNR-LLMMP"
"2010-11-18","MNDNR-LLMMP"
"2011-11-12","MNDNR-LLMMP"
"2012-11-13","MNDNR-LLMMP"
"2015-11-30","MNDNR-LLMMP"
"2017-11-10","MNPCA"
"2017-11-10","MNDNR-LLMMP"
"2019-11-08","MNDNR-LLMMP"
"2020-11-28","MNDNR-LLMMP"
"2021-11-28","MNDNR-LLMMP"
"2022-11-20","MNPCA"
